#TYPE System.Management.Automation.PSCustomObject
"DisplayName","InstallLocation","InstallSource","LocalPackage","PsPath","InstallPropertiesPsPath","Patches","PatchPSPath"
"Microsoft X MUI (German) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0101-0407-0000-0000000FF1CE}-C\","C:\Windows\Installer\89072596.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101070400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101070400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101070400000000000F01FEC\Patches"
"Microsoft X MUI (Spanish) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0101-0C0A-0000-0000000FF1CE}-C\","C:\Windows\Installer\7bb17a6.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091010A0C00000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091010A0C00000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091010A0C00000000000F01FEC\Patches"
"Microsoft OneNote MUI (Italian) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00A1-0410-0000-0000000FF1CE}-C\","C:\Windows\Installer\79e2fc0.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0001400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0001400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0001400000000000F01FEC\Patches"
"Microsoft OneNote MUI (Czech) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00A1-0405-0000-0000000FF1CE}-C\","C:\Windows\Installer\890725d5.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0050400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0050400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0050400000000000F01FEC\Patches"
"Microsoft OneNote MUI (German) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00A1-0407-0000-0000000FF1CE}-C\","C:\Windows\Installer\89072543.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0070400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0070400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0070400000000000F01FEC\Patches"
"Microsoft OneNote MUI (English) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00A1-0409-0000-0000000FF1CE}-C\","C:\Windows\Installer\793a8b7.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0090400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0090400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0090400000000000F01FEC\Patches"
"Microsoft OneNote MUI (Spanish) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00A1-0C0A-0000-0000000FF1CE}-C\","C:\Windows\Installer\7bb1757.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A00A0C00000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A00A0C00000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A00A0C00000000000F01FEC\Patches"
"Microsoft OneNote MUI (French) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00A1-040C-0000-0000000FF1CE}-C\","C:\Windows\Installer\7bb16b7.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A00C0400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A00C0400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A00C0400000000000F01FEC\Patches"
"Microsoft Office OSM MUI (Italian) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E1-0410-0000-0000000FF1CE}-C\","C:\Windows\Installer\79e2fc5.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0001400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0001400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0001400000000000F01FEC\Patches"
"Microsoft Office OSM MUI (Czech) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E1-0405-0000-0000000FF1CE}-C\","C:\Windows\Installer\890725f4.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0050400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0050400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0050400000000000F01FEC\Patches"
