#TYPE System.Management.Automation.PSCustomObject
"Name","LocalPackage"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0A2BC18DE56FB2F49A20687A6DFC6567","@{LocalPackage=C:\Windows\Installer\41b6730f.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0A70EC72C241D3143AEF0D4D8A61C950","@{LocalPackage=C:\Windows\Installer\af40811e.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0A756888FEEFFAE4999302BBEE9054A3","@{LocalPackage=C:\Windows\Installer\811cd3a.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0B1E12980B7EC4E4C88865FAD4F6AD2A","@{LocalPackage=C:\Windows\Installer\811c8a2.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0C7E78B5510AA634C94AED96AE1DD5C2","@{LocalPackage=C:\Windows\Installer\33eb67ae.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0C9E16B2B4CB5EB448A673513F1F0F2D","@{LocalPackage=C:\Windows\Installer\23871190.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0E30B9B5824A4244CA63EB20F5F8B442","@{LocalPackage=C:\Windows\Installer\41b6732d.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0F613D36D49338444A79756748039BDF","@{LocalPackage=C:\Windows\Installer\811cf14.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0FB1A0360839F714491E82E9EECA35A9","@{LocalPackage=C:\Windows\Installer\44746ee.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\101D7F49BD3796F4C9314AD24230EC45","@{LocalPackage=C:\Windows\Installer\811c91d.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\10BEF6BB810674346B89F2A54F2DD031","@{LocalPackage=C:\Windows\Installer\2ec0397e.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\12446D890BE8A0C44A4D590F43512C8E","@{LocalPackage=C:\Windows\Installer\904c1e99.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1249CBBBF67F1C8458D5E4862106787B","@{LocalPackage=C:\Windows\Installer\58e7cd66.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\12C1FEA09A6EF4640B832ED86BB9D6FC","@{LocalPackage=C:\Windows\Installer\58e7cfa7.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\12D6F90F7C1A72742A8AC253ABBC3383","@{LocalPackage=C:\Windows\Installer\8874636.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\12F52F2DEED832F428B231E5F8C6C29F","@{LocalPackage=C:\Windows\Installer\904c1dae.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\13284B3CE0B49EA469172739538B1017","@{LocalPackage=C:\Windows\Installer\811c90c.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\13A0194AB10B585479427EA87EE6888A","@{LocalPackage=C:\Windows\Installer\6f90bcce.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\168444776A135624F87A0B08B3DB71F4","@{LocalPackage=c:\Windows\Installer\236e3d5f.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\16AB0528249228A44A83CC6A2BC9A19E","@{LocalPackage=C:\Windows\Installer\811c914.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\171BB5D93ECB74C469CA0F26DBB57B6F","@{LocalPackage=C:\Windows\Installer\58e7cd6d.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\17759C0958484AE4B89B735D555976C5","@{LocalPackage=C:\Windows\Installer\b974802d.msp}"
